question,answer
Admin can write global config,"allow { 
object.type == ""app_config"" 
subject.global_role == admin 
action == write 
} 
"
Admin can write teams,"allow { 
object.type == ""team"" 
subject.global_role == admin 
action == write 
} 
"
Admins can read/write all user sessions,"allow { 
object.type == ""session"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
All users can read labels,"allow { 
object.type == ""label"" 
not is_null(subject) 
action == read 
} 
"
All users can read queries,"allow { 
not is_null(subject) 
object.type == ""query"" 
action == read 
} 
"
All users can read the global pack.,"allow { 
object.type == ""pack"" 
not is_null(subject) 
object.is_global_pack == true 
action == read 
} 
"
Allow anyone to list (must be filtered appropriately by the service).,"allow { 
object.type == ""host"" 
not is_null(subject) 
action == list 
} 
"
Allow read for global observer,"allow { 
object.type == ""host"" 
subject.global_role = observer 
action == read 
} 
"
Allow read for matching team admin/maintainer/observer,"allow { 
object.type == ""host"" 
team_role(subject, object.team_id) == [admin, maintainer, observer][_] 
action == read 
} 
"
Allow read/write for global admin/maintainer,"allow { 
object.type == ""host"" 
subject.global_role = admin 
action == [read, write][_] 
} 
allow { 
object.type == ""host"" 
subject.global_role = maintainer 
action == [read, write][_] 
} 
"
Any logged in user can read global config,"allow { 
object.type == ""app_config"" 
not is_null(subject) 
action == read 
} 
"
Any user can read and write self and change their own password.,"allow { 
object.type == ""user"" 
object.id == subject.id 
object.id != 0 
action == [read, write, change_password][_] 
} 
"
Any user can read/write own session,"allow { 
object.type == ""session"" 
object.user_id == subject.id 
action == [read, write][_] 
} 
"
Default deny,"default allow = false 
"
"For specific teams, only members can read","allow { 
object.type == ""team"" 
object.id != 0 
team_role(subject, object.id) == [admin,maintainer][_] 
action == read 
}"
Global Admin and Maintainer can read and write policies,"allow { 
object.type == ""policy"" 
subject.global_role == [admin,maintainer][_] 
action == [read, write][_] 
} 
"
Global Observer can read any policies,"allow { 
object.type == ""policy"" 
subject.global_role == observer 
action == read 
} 
"
Global admins and maintainers can read/write all,"allow { 
object.type == ""enroll_secret"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global admins and maintainers can read/write all packs.,"allow { 
object.type == ""pack"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global admins and maintainers can run any,"allow { 
object.type == ""targeted_query"" 
subject.global_role == admin 
action = run 
} 
allow { 
object.type == ""targeted_query"" 
subject.global_role == maintainer 
action = run 
} 
allow { 
object.type == ""query"" 
subject.global_role == admin 
action = run_new 
} 
allow { 
object.type == ""query"" 
subject.global_role == maintainer 
action = run_new 
} 
"
Global admins and maintainers can write queries,"allow { 
object.type == ""query"" 
subject.global_role == admin 
action == write 
} 
allow { 
object.type == ""query"" 
subject.global_role == maintainer 
action == write 
} 
"
Global admins can perform all operations on all users.,"allow { 
object.type == ""user"" 
subject.global_role == admin 
action == [read, write, write_role, change_password][_] 
} 
"
Global admins may read/write invites,"allow { 
object.type == ""invite"" 
subject.global_role == admin 
action == [read,write][_] 
} 
"
Global users can read all software.,"allow { 
object.type == ""software_inventory"" 
subject.global_role == [admin, maintainer, observer][_] 
action == read 
} 
"
If role is admin or maintainer on any team,"team_role(subject, subject.teams[_].id) == [admin,maintainer][_] 
action == run_new 
} 
"
"If role is admin, maintainer or observer on any team","team_role(subject, subject.teams[_].id) == [admin,maintainer,observer][_] 
"
"NOTE: Action ""read"" on a team's pack includes listing its scheduled queries.","allow { 
object.type == ""pack"" 
not is_null(object.pack_team_id) 
team_role(subject, object.pack_team_id) == [admin, maintainer, observer][_] 
action == read 
} 
"
Observers can run only if observers_can_run,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == true 
subject.global_role == observer 
action = run 
} 
"
Only global admins and maintainers can write labels,"allow { 
object.type == ""label"" 
subject.global_role == admin 
action == write 
} 
allow { 
object.type == ""label"" 
subject.global_role == maintainer 
action == write 
} 
"
Only global admins can read/write carves,"allow { 
object.type == ""carve"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Only global users can read activities,"allow { 
not is_null(subject.global_role) 
object.type == ""activity"" 
action == read 
} 
"
Query specific actions,"run := ""run"" 
run_new := ""run_new"" 
"
Team Observer can read policies for their teams,"allow { 
not is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, object.team_id) == observer 
action == read 
} 
"
Team admin and maintainer can run a new query,"allow { 
object.type == ""query"""
Team admin and maintainers can read and write policies for their teams,"allow { 
not is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, object.team_id) == [admin,maintainer][_] 
action == [read, write][_] 
} 
"
Team admin can write teams,"allow { 
object.type == ""team"" 
team_role(subject, object.id) == admin 
action == write 
} 
"
"Team admin, maintainers and observers can read global policies","allow { 
is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, subject.teams[_].id) == [admin,maintainer,observer][_] 
action == read 
} 
"
Team admins and maintainers can create new queries,"allow { 
object.id == 0 # new queries have ID zero 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == [admin, maintainer][_] 
action == write 
} 
"
Team admins and maintainers can edit and delete only their own queries,"allow { 
object.author_id == subject.id 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == [admin,maintainer][_] 
action == write 
} 
"
Team admins and maintainers can read/write for appropriate teams,"allow { 
object.type == ""enroll_secret"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
