question,answer
(Team) observers can run only if observers_can_run,"allow { 
object.type == ""query"" 
object.observer_can_run == true 
subject.global_role == observer 
action = run 
}"
Admin can write global config,"allow { 
object.type == ""app_config"" 
subject.global_role == admin 
action == write 
} 
"
Admin can write teams,"allow { 
object.type == ""team"" 
subject.global_role == admin 
action == write 
} 
"
Admins can read/write all,"allow { 
object.type == ""enroll_secret"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Admins can read/write all user sessions,"allow { 
object.type == ""session"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
All users can read activities,"allow { 
not is_null(subject) 
object.type == ""activity"" 
action == read 
} 
"
All users can read labels,"allow { 
object.type == ""label"" 
not is_null(subject) 
action == read 
} 
"
All users can read queries,"allow { 
not is_null(subject) 
object.type == ""query"" 
action == read 
} 
"
All users can read software,"allow { 
not is_null(subject) 
object.type == ""software"" 
action == read 
}"
Allow anyone to list (must be filtered appropriately by the service).,"allow { 
object.type == ""host"" 
not is_null(subject) 
action == list 
} 
"
Allow read for global observer,"allow { 
object.type == ""host"" 
subject.global_role = observer 
action == read 
} 
"
Allow read for matching team maintainer/observer,"allow { 
object.type == ""host"" 
team_role(subject, object.team_id) == maintainer 
action == read 
} 
allow { 
object.type == ""host"" 
team_role(subject, object.team_id) == observer 
action == read 
} 
"
Allow read/write for global admin/maintainer,"allow { 
object.type == ""host"" 
subject.global_role = admin 
action == [read, write][_] 
} 
allow { 
object.type == ""host"" 
subject.global_role = maintainer 
action == [read, write][_] 
} 
"
Any logged in user can read global config,"allow { 
object.type == ""app_config"" 
not is_null(subject) 
action == read 
} 
"
Any user can read other users,"allow { 
object.type == ""user"" 
not is_null(subject) 
action == read 
} 
"
Any user can read/write own session,"allow { 
object.type == ""session"" 
object.user_id == subject.id 
action == [read, write][_] 
} 
"
Any user can write self (besides role),"allow { 
object.type == ""user"" 
object.id == subject.id 
action == write 
} 
"
Default deny,"default allow = false 
"
Global Admin and Maintainer users can read and write policies,"allow { 
object.type == [""policy"",""team_policy""][_] 
subject.global_role == admin 
action == [read, write][_] 
} 
 
allow { 
is_null(object.team_id) 
object.type == ""policy"" 
subject.global_role == maintainer 
action == [read, write][_] 
} 
 
allow { 
object.type == ""policy"" 
subject.global_role == maintainer 
action == [read][_] 
} 
"
Global Observer users can read policies,"allow { 
object.type == ""policy"" 
subject.global_role == observer 
action == [read][_] 
} 
"
Global admins and (team) maintainers can run any,"allow { 
object.type == ""query"" 
subject.global_role == admin 
action = run 
} 
allow { 
object.type == ""query"" 
subject.global_role == maintainer 
action = run 
} 
allow { 
object.type == ""query"" 
subject.global_role == admin 
action = run_new 
} 
allow { 
object.type == ""query"" 
subject.global_role == maintainer 
action = run_new 
}"
Global admins and maintainers and team maintainers can read/write packs,"allow { 
object.type == ""pack"" 
subject.global_role == admin 
action == [read, write][_] 
} 
allow { 
object.type == ""pack"" 
subject.global_role == maintainer 
action == [read, write][_] 
} 
"
Global maintainers can read all,"allow { 
object.type == ""enroll_secret"" 
subject.global_role == maintainer 
action == read 
} 
"
If role is maintainer on any team,"team_role(subject, subject.teams[_].id) == admin 
action == run_new 
} 
"
If role is observer on any team,"team_role(subject, subject.teams[_].id) == observer 
action == run 
} 
"
Only admins and maintainers can write queries,"allow { 
object.type == ""query"" 
subject.global_role == admin 
action == write 
} 
allow { 
object.type == ""query"" 
subject.global_role == maintainer 
action == write 
} 
"
Only global admins and maintainers can write labels,"allow { 
object.type == ""label"" 
subject.global_role == admin 
action == write 
} 
allow { 
object.type == ""label"" 
subject.global_role == maintainer 
action == write 
} 
"
Only global admins can read/write carves,"allow { 
object.type == ""carve"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Only global admins may read/write invites,"allow { 
object.type == ""invite"" 
subject.global_role == admin 
action == read 
} 
allow { 
object.type == ""invite"" 
subject.global_role == admin 
action == write 
} 
"
Team Maintainers can read and write policies,"allow { 
not is_null(object.team_id) 
object.team_id == subject.teams[_].id 
object.type == ""policy"" 
team_role(subject, subject.teams[_].id) == maintainer 
action == [read, write][_] 
} 
"
Team Observer can read policies,"allow { 
not is_null(object.team_id) 
object.team_id == subject.teams[_].id 
object.type == ""policy"" 
team_role(subject, subject.teams[_].id) == observer 
action == [read][_] 
} 
"
Team admin can run a new query,"allow { 
object.type == ""query"""
Team maintainer can run a new query,"allow { 
object.type == ""query"""
Team maintainers can create new queries,"allow { 
object.id == 0 # new queries have ID zero 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == maintainer 
action == write 
} 
"
Team maintainers can edit and delete only their own queries,"allow { 
object.author_id == subject.id 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == maintainer 
action == write 
} 
"
Team maintainers can read global packs,"allow { 
is_null(object.team_ids) 
object.type == ""pack"" 
team_role(subject, subject.teams[_].id) == maintainer 
action == read 
} 
 
allow { 
object.team_ids[_] == subject.teams[_].id 
object.type == ""pack"" 
team_role(subject, subject.teams[_].id) == maintainer 
action == [read, write][_] 
} 
"
Team maintainers can read global policies," 
allow { 
is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, subject.teams[_].id) == maintainer 
action == read 
} 
"
Team maintainers can write to hosts of their own team,"allow { 
object.type == ""host"" 
team_role(subject, object.team_id) == maintainer 
action == write 
} 
"
filtered to only teams that they maintain,"allow { 
object.type == ""query"""
filtered to only teams that they observe,"allow { 
object.type == ""query"" 
object.observer_can_run == true"
if the user has no explicit role for that team.,"team_role(subject, team_id) = role { 
subject_team := subject.teams[_] 
subject_team.id == team_id 
role := subject_team.role 
} 
"
