question,answer
"Action used on object ""query"" used for running ""new"" live queries.","run_new := ""run_new"" 
"
"Action used on object ""targeted_query"" used for running live queries.","run := ""run"""
Admins can read/write all user sessions,"allow { 
object.type == ""session"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Allow read for global observer and observer_plus.,"allow { 
object.type == ""host"" 
subject.global_role == [observer, observer_plus][_] 
action == read 
} 
"
Allow read for matching team admin/maintainer/observer/observer_plus.,"allow { 
object.type == ""host"" 
team_role(subject, object.team_id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Allow read/write for global admin/maintainer.,"allow { 
object.type == ""host"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Any logged in user can read Fleet's version,"allow { 
object.type == ""version"" 
not is_null(subject) 
action == read 
} 
"
Any user can read and write self and change their own password.,"allow { 
object.type == ""user"" 
object.id == subject.id 
object.id != 0 
action == [read, write, change_password][_] 
} 
"
Any user can read/write own session,"allow { 
object.type == ""session"" 
object.user_id == subject.id 
action == [read, write][_] 
} 
"
Default deny,"default allow = false 
"
"Global admin, maintainer, observer_plus and observer can read global config.","allow { 
object.type == ""app_config"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
"Global admin, maintainer, observer_plus and observer can read targets.","allow { 
object.type == ""target"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
Global admins and gitops can write global config.,"allow { 
object.type == ""app_config"" 
subject.global_role == [admin, gitops][_] 
action == write 
} 
"
Global admins and gitops can write teams.,"allow { 
object.type == ""team"" 
subject.global_role == [admin, gitops][_] 
action == write 
} 
"
Global admins and maintainers can read and write MDM Apple settings.,"allow { 
object.type == ""mdm_apple_settings"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global admins and maintainers can read and write MDM config profiles.,"allow { 
object.type == ""mdm_config_profile"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global admins and maintainers can read and write bootstrap packages.,"allow { 
object.type == ""mdm_apple_bootstrap_package"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global admins and maintainers can read and write macos setup assistants.,"allow { 
object.type == ""mdm_apple_setup_assistant"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global admins and maintainers can read and write policies.,"allow { 
object.type == ""policy"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global admins and maintainers can read/write enroll secrets.,"allow { 
object.type == ""enroll_secret"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global admins and maintainers can write (execute) MDM commands.,"allow { 
object.type == ""mdm_command"" 
subject.global_role == [admin, maintainer][_] 
action == write 
} 
"
Global admins and maintainers can write (upload) saved scripts.,"allow { 
object.type == ""script"" 
subject.global_role == [admin, maintainer][_] 
action == write 
} 
"
Global admins can perform all operations on all users.,"allow { 
object.type == ""user"" 
subject.global_role == admin 
action == [read, write, write_role, change_password][_] 
} 
"
Global admins can read and write (i.e. trigger) cron schedules.,"allow { 
object.type == ""cron_schedules"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global admins can read and write Apple DEP devices.,"allow { 
object.type == ""mdm_apple_dep_device"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global admins can read and write Apple MDM enrollments.,"allow { 
object.type == ""mdm_apple_enrollment_profile"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global admins can read and write Apple MDM installers.,"allow { 
object.type == ""mdm_apple_installer"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global admins can read and write Apple devices.,"allow { 
object.type == ""mdm_apple_device"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global admins can read and write MDM apple information.,"allow { 
object.type == ""mdm_apple"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global admins may read/write invites,"allow { 
object.type == ""invite"" 
subject.global_role == admin 
action == [read,write][_] 
} 
"
"Global admins, maintainers and gitops can read/write 2017 packs.","allow { 
object.type == ""pack"" 
subject.global_role == [admin, maintainer, gitops][_] 
action == [read, write][_] 
} 
"
